trade_id,timestamp,trade_date,strategy,ticker,side,quantity,price
1,2025-12-03 15:22:00,2025-12-03,TMT,LYW,BUY,405,47.56
2,2026-01-22 14:48:00,2026-01-22,TMT,XWH,SELL,500,124.49
3,2025-10-28 15:08:00,2025-10-28,CORE,CQU,BUY,634,42.17
4,2025-10-09 14:00:00,2025-10-09,TMT,XCK,BUY,553,187.5
5,2025-12-09 11:09:00,2025-12-09,TMT,WAS,BUY,144,221.5
6,2025-11-04 14:52:00,2025-11-04,HEALTH,GGO,SELL,302,86.49
7,2025-10-31 15:18:00,2025-10-31,HEALTH,VAU,BUY,52,181.24
8,2025-12-17 11:09:00,2025-12-17,TMT,QPD,BUY,419,128.6
9,2025-10-17 13:15:00,2025-10-17,CORE,QPE,BUY,36,241.51
10,2026-01-27 14:43:00,2026-01-27,TMT,QAH,SELL,589,145.22
11,2026-01-09 11:13:00,2026-01-09,HEALTH,FAI,BUY,120,120.32
12,2025-10-10 10:24:00,2025-10-10,TMT,ZNZ,SELL,689,217.83
13,2026-01-05 13:32:00,2026-01-05,HEALTH,PSB,BUY,432,30.65
14,2025-12-18 10:25:00,2025-12-18,HEALTH,VAU,BUY,483,178.23
15,2026-01-09 10:08:00,2026-01-09,HEALTH,SIE,SELL,130,190.32
16,2026-01-06 15:51:00,2026-01-06,HEALTH,YIC,BUY,215,188.32
17,2025-10-30 12:52:00,2025-10-30,CORE,OFP,SELL,248,143.32
18,2025-12-04 10:09:00,2025-12-04,TMT,FAI,BUY,164,130.29
19,2025-11-27 15:32:00,2025-11-27,CORE,ZJO,SELL,788,141.63
20,2026-01-02 14:17:00,2026-01-02,HEALTH,VAU,BUY,103,185.53
21,2025-12-31 14:21:00,2025-12-31,HEALTH,KBJ,BUY,402,61.06
22,2026-01-20 14:29:00,2026-01-20,CORE,GFY,BUY,198,94.06
23,2025-12-11 12:12:00,2025-12-11,CORE,SIE,BUY,401,183.72
24,2025-12-02 15:11:00,2025-12-02,TMT,CWP,BUY,670,33.39
25,2025-12-04 12:40:00,2025-12-04,TMT,KFZ,SELL,519,70.63
26,2026-01-08 10:37:00,2026-01-08,TMT,GNE,SELL,144,98.14
27,2026-01-06 15:08:00,2026-01-06,TMT,QJJ,BUY,115,71.42
28,2025-10-07 15:21:00,2025-10-07,TMT,GNE,BUY,481,90.58
29,2025-12-18 11:33:00,2025-12-18,CORE,GFY,BUY,184,102.7
30,2025-12-31 11:07:00,2025-12-31,CORE,FAI,SELL,767,126.4
31,2025-10-21 15:16:00,2025-10-21,HEALTH,GNE,BUY,775,87.58
32,2026-01-06 12:18:00,2026-01-06,TMT,GFY,BUY,351,92.03
33,2026-01-07 15:26:00,2026-01-07,TMT,AFQ,BUY,376,72.1
34,2025-10-08 15:38:00,2025-10-08,TMT,PSB,BUY,540,35.87
35,2026-01-26 11:44:00,2026-01-26,TMT,KFZ,BUY,521,88.82
36,2025-10-14 12:46:00,2025-10-14,TMT,OFP,BUY,419,145.47
37,2025-10-31 14:05:00,2025-10-31,HEALTH,RVU,BUY,149,219.54
38,2025-11-19 10:56:00,2025-11-19,TMT,GPX,SELL,21,31.06
39,2025-11-04 14:52:00,2025-11-04,TMT,WAS,SELL,716,192.7
40,2025-11-11 10:36:00,2025-11-11,HEALTH,RNG,BUY,522,42.94
41,2026-01-19 14:48:00,2026-01-19,CORE,VQW,BUY,592,52.54
42,2025-10-31 09:49:00,2025-10-31,TMT,SEJ,BUY,767,235.17
43,2025-11-11 13:24:00,2025-11-11,CORE,PSB,BUY,422,37.57
44,2026-01-14 12:27:00,2026-01-14,CORE,FGY,SELL,226,160.74
45,2026-01-29 12:42:00,2026-01-29,HEALTH,GFY,SELL,266,93.24
46,2025-10-01 12:35:00,2025-10-01,CORE,RVU,BUY,760,245.51
47,2025-10-30 10:16:00,2025-10-30,CORE,FAI,SELL,57,156.36
48,2025-10-23 10:54:00,2025-10-23,CORE,VAU,SELL,556,179.53
49,2025-11-12 10:51:00,2025-11-12,CORE,FTR,BUY,667,224.97
50,2025-12-19 11:08:00,2025-12-19,TMT,LYW,BUY,109,44.19
51,2025-12-18 13:05:00,2025-12-18,HEALTH,WAS,SELL,656,228.25
52,2025-12-01 13:36:00,2025-12-01,TMT,GPX,BUY,701,29.63
53,2025-10-02 14:08:00,2025-10-02,CORE,AFN,SELL,209,204.13
54,2025-12-03 10:09:00,2025-12-03,CORE,WIR,SELL,666,64.29
55,2025-10-24 09:49:00,2025-10-24,CORE,OFP,BUY,109,143.74
56,2025-12-25 10:04:00,2025-12-25,CORE,WIR,SELL,365,66.23
57,2025-11-11 13:00:00,2025-11-11,HEALTH,FAI,SELL,159,153.79
58,2025-10-07 10:37:00,2025-10-07,HEALTH,OFP,BUY,447,143.78
59,2026-01-29 09:50:00,2026-01-29,TMT,FTR,BUY,707,202.28
60,2026-01-01 10:31:00,2026-01-01,HEALTH,USN,BUY,706,99.72
61,2025-12-17 12:43:00,2025-12-17,HEALTH,AFQ,SELL,492,74.96
62,2025-12-22 13:07:00,2025-12-22,TMT,QJJ,SELL,50,67.37
63,2025-12-26 14:24:00,2025-12-26,HEALTH,KXL,SELL,644,222.98
64,2026-01-22 14:31:00,2026-01-22,CORE,FAI,SELL,491,128.88
65,2026-01-12 10:01:00,2026-01-12,CORE,KXL,BUY,491,253.96
66,2025-12-17 13:41:00,2025-12-17,TMT,FAI,SELL,288,134.55
67,2026-01-30 11:02:00,2026-01-30,CORE,GFY,BUY,248,95.26
68,2026-02-03 12:41:00,2026-02-03,TMT,GFY,BUY,453,99.13
69,2026-01-14 10:55:00,2026-01-14,CORE,KBJ,SELL,274,67.11
70,2025-12-02 12:13:00,2025-12-02,CORE,CQU,BUY,305,41.08
71,2025-12-05 10:46:00,2025-12-05,CORE,KFZ,SELL,436,74.45
72,2025-12-30 15:28:00,2025-12-30,CORE,FAI,BUY,732,133.32
73,2025-10-21 14:05:00,2025-10-21,CORE,XCK,BUY,297,225.39
74,2025-10-06 10:39:00,2025-10-06,HEALTH,XWH,SELL,715,128.59
75,2025-12-19 13:43:00,2025-12-19,TMT,RNG,BUY,313,43.56
76,2025-11-03 14:22:00,2025-11-03,CORE,QCL,BUY,701,56.99
77,2025-12-26 12:52:00,2025-12-26,HEALTH,QAH,SELL,789,161.89
78,2025-10-22 10:40:00,2025-10-22,TMT,KFZ,SELL,79,86.84
79,2026-01-06 13:52:00,2026-01-06,HEALTH,PSB,BUY,601,31.35
80,2025-12-09 15:00:00,2025-12-09,TMT,GFY,SELL,640,106.94
81,2025-11-18 11:40:00,2025-11-18,HEALTH,PSB,BUY,568,36.76
82,2025-11-26 10:46:00,2025-11-26,HEALTH,SIE,SELL,434,169.14
83,2025-10-17 12:51:00,2025-10-17,HEALTH,ZNZ,SELL,292,225.89
84,2025-10-24 12:07:00,2025-10-24,HEALTH,WIR,SELL,129,65.13
85,2025-10-30 10:13:00,2025-10-30,TMT,AFQ,SELL,496,72.61
86,2025-11-27 15:54:00,2025-11-27,HEALTH,CWP,SELL,43,33.15
87,2025-10-23 14:54:00,2025-10-23,TMT,VQW,SELL,162,57.5
88,2025-10-16 15:19:00,2025-10-16,HEALTH,GNE,BUY,612,92.29
89,2025-11-26 15:02:00,2025-11-26,HEALTH,RNG,BUY,150,44.48
90,2025-11-26 14:27:00,2025-11-26,HEALTH,XWH,SELL,251,132.58
91,2025-11-13 15:11:00,2025-11-13,HEALTH,OFP,SELL,683,138.24
92,2026-01-29 13:51:00,2026-01-29,TMT,VAU,BUY,467,192.06
93,2026-01-06 11:00:00,2026-01-06,TMT,QPE,SELL,271,189.05
94,2025-12-03 09:39:00,2025-12-03,HEALTH,GCH,BUY,389,250.12
95,2025-11-10 10:20:00,2025-11-10,CORE,QPE,BUY,397,234.04
96,2025-11-26 13:33:00,2025-11-26,CORE,OFP,SELL,506,130.59
97,2025-12-03 11:40:00,2025-12-03,HEALTH,SIE,BUY,478,171.19
98,2025-12-01 13:50:00,2025-12-01,HEALTH,AFQ,SELL,373,72.11
